Timestamp,OriginalFilename,CleanFilename,DeviceAccount,PackType,CardTypes,CardCounts,PackScreenshot,Shinedust
2025-11-04 16:28:08,16P_20251104090906_8863(B).xml,20251104090906,5463bf7099aaf595,MegaBlaziken,3Diamond,1,20251104162808_1_Tradeable_1_packs.png,
2025-11-04 16:31:05,17P_20251104090906_8373(B).xml,20251104090906,5463bf7099aaf595,MegaGyarados,3Diamond,1,20251104163105_1_Tradeable_2_packs.png,
2025-11-04 16:33:01,16P_20251104090906_1536(B).xml,20251104090906,5463bf7099aaf595,MegaBlaziken,4Diamond|Shiny1Star|Shiny2Star,2|1|1,20251104163301_1_Tradeable_1_packs.png,
